ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1075849176::Physical Name,1075849452::Domain Parent,1075848978::Type  [read only],1073742125::Definition
1075838981::345,Notes,Column,Notes,str,Non Primary Key,"A brief record of facts, topics, or thoughts, written down as an aid to memory"
1075838981::362,Notes,Column,Notes,str,Non Primary Key,"A brief record of facts, topics, or thoughts, written down as an aid to memory"
1075838981::363,IsDeleted,Column,IsDeleted,bl,Non Primary Key,A column that displays a fact if an entry is deleted or not
1075838981::365,UserAuthenticatedKey,Column,UserAuthenticatedKey,num,Non Primary Key,The column that is focused on displaying which use is able to Authinticate
1075838981::398,Notes,Column,Notes,str,Non Primary Key,"A brief record of facts, topics, or thoughts, written down as an aid to memory"
1075838981::399,IsDeleted,Column,IsDeleted,bl,Non Primary Key,A column that displays a fact if an entry is deleted or not
1075838981::401,UserAuthenticatedKey,Column,UserAuthenticatedKey,num,Non Primary Key,The column that is focused on displaying which use is able to Authinticate
1075838981::431,RequiredDate,Column,RequiredDate,dt,Non Primary Key,The required date for a certain submission
1075838981::433,Freight,Column,Freight,num,Non Primary Key,"Goods transported in bulk by truck, train, ship, or aircraft"
1075838981::452,DiscountPercentage,Column,DiscountPercentage,num,Non Primary Key,The percentage to that a product will be discounted by
1075838981::496,EmployeeRegion,Column,EmployeeRegion,str,Non Primary Key,The region where an employee resides
1075838981::497,EmployeePostalCode,Column,EmployeePostalCode,str,Non Primary Key,The postal of code where an employee resides
1075838981::499,EmployeePhoneNumber,Column,EmployeePhoneNumber,str,Non Primary Key,The phone number of an employee
1075838981::553,N,Column,N,num,Primary Key,A number value given
1075838981::789,IndividualProject,Column,IndividualProject,str,Non Primary Key,The name of an individual project
1075838981::790,GroupMemberLastName,Column,GroupMemberLastName,str,Non Primary Key,The last name of a certain group member
1075838981::791,GroupMemberFirstName,Column,GroupMemberFirstName,str,Non Primary Key,The first name of a certain group member
1075838981::794,GroupName,Column,GroupName,str,Non Primary Key,The group name in which members work under
1075838981::1074,Feedback,Column,Feedback,str,Non Primary Key,The response returned after some service
1075838981::1076,Received_On,Column,Received_On,dt,Non Primary Key,The datetime in which a certain input was received on
1075838981::1086,FirstName,Column,FirstName,str,Non Primary Key,The first name of a person
1075838981::1087,LastName,Column,LastName,str,Non Primary Key,The last name of a person
1075838981::1090,DiscountCode,Column,DiscountCode,num,Non Primary Key,A number that corresponds to a discount price
