ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1075849176::Physical Name,1075849452::Domain Parent,1075848978::Type  [read only],1073742125::Definition
"1075838981::345","Notes",Column,"Notes","str","Non Primary Key","add definition"
"1075838981::362","Notes",Column,"Notes","str","Non Primary Key","add definition"
"1075838981::363","IsDeleted",Column,"IsDeleted","bl","Non Primary Key","add definition"
"1075838981::365","UserAuthenticatedKey",Column,"UserAuthenticatedKey","num","Non Primary Key","add definition"
"1075838981::398","Notes",Column,"Notes","str","Non Primary Key","add definition"
"1075838981::399","IsDeleted",Column,"IsDeleted","bl","Non Primary Key","add definition"
"1075838981::401","UserAuthenticatedKey",Column,"UserAuthenticatedKey","num","Non Primary Key","add definition"
"1075838981::431","RequiredDate",Column,"RequiredDate","dt","Non Primary Key","add definition"
"1075838981::433","Freight",Column,"Freight","num","Non Primary Key","add definition"
"1075838981::452","DiscountPercentage",Column,"DiscountPercentage","num","Non Primary Key","add definition"
"1075838981::496","EmployeeRegion",Column,"EmployeeRegion","str","Non Primary Key","add definition"
"1075838981::497","EmployeePostalCode",Column,"EmployeePostalCode","str","Non Primary Key","add definition"
"1075838981::499","EmployeePhoneNumber",Column,"EmployeePhoneNumber","str","Non Primary Key","add definition"
"1075838981::553","N",Column,"N","num","Primary Key","add definition"
"1075838981::789","IndividualProject",Column,"IndividualProject","str","Non Primary Key","add definition"
"1075838981::790","GroupMemberLastName",Column,"GroupMemberLastName","str","Non Primary Key","add definition"
"1075838981::791","GroupMemberFirstName",Column,"GroupMemberFirstName","str","Non Primary Key","add definition"
"1075838981::794","GroupName",Column,"GroupName","str","Non Primary Key","add definition"
"1075838981::1074","Feedback",Column,"Feedback","str","Non Primary Key","add definition"
"1075838981::1076","Received_On",Column,"Received_On","dt","Non Primary Key","add definition"
"1075838981::1086","FirstName",Column,"FirstName","str","Non Primary Key","add definition"
"1075838981::1087","LastName",Column,"LastName","str","Non Primary Key","add definition"
"1075838981::1090","DiscountCode",Column,"DiscountCode","num","Non Primary Key","add definition"
