ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742126::Name,1075848978::Type,1075849056::Physical Data Type,1075849062::Null Option,1075849176::Physical Name,1075849452::Domain Parent,1075850516::User Formatted Name  [read only]
1075838983::32,<root>,Domain,<root>,<Root>,,Null,_root_,,<root>
1075838983::33,<default>,Domain,<default>,<Default>,char(18),Null,_default_,_root_,<default>
1075838983::34,String,Domain,String,String,varchar(20),Null,String,_default_,String
1075838983::35,Number,Domain,Number,Number,integer,Null,Number,_default_,Number
1075838983::36,Datetime,Domain,Datetime,DateTime,datetime,Null,Datetime,_default_,Datetime
1075838983::37,Blob,Domain,Blob,Blob,varbinary,Null,Blob,_default_,Blob
1075838983::1285,dGroupMiterm,Domain,dGroupMiterm,<Regular Domain>,char(1),Null,dGroupMiterm,_default_,dGroupMiterm
1075838983::1286,dBlob,Domain,dBlob,<Regular Domain>,char(1),Null,dBlob,dGroupMiterm,dBlob
1075838983::1288,dString,Domain,dString,<Regular Domain>,char(1),Null,dString,dGroupMiterm,dString
1075838983::1289,dNumber,Domain,dNumber,<Regular Domain>,integer,Null,dNumber,dGroupMiterm,dNumber
1075838983::1290,dDateTime,Domain,dDateTime,<Regular Domain>,datetime,Null,dDateTime,dGroupMiterm,dDateTime
1075838983::1361,sdFlagCharacterString,Domain,sdFlagCharacterString,<Regular Domain>,char(1),Null,sdFlagCharacter_JG,dString,sdFlagCharacterString
1075838983::1362,sdIntegerNumber_JG,Domain,sdIntegerNumber_JG,<Regular Domain>,integer,Null,sdIntegerNumber_JG,dNumber,sdIntegerNumber_JG
1075838983::1363,sdPositiveIntegerNumber_JG,Domain,sdPositiveIntegerNumber_JG,<Regular Domain>,integer,Null,sdPositiveIntegerNumber_JG,sdIntegerNumber_JG,sdPositiveIntegerNumber_JG
1075838983::1367,sdKeyIntegerNumber_JG,Domain,sdKeyIntegerNumber_JG,<Regular Domain>,integer,Null,sdKeyIntegerNumber_JG,sdPositiveIntegerNumber_JG,sdKeyIntegerNumber_JG
1075838983::1370,sdMoneyNumber_JG,Domain,sdMoneyNumber_JG,<Regular Domain>,money,Null,sdMoneyNumber_JG,dNumber,sdMoneyNumber_JG
1075838983::1371,sdNanosecondPreciseDatetime_JG,Domain,sdNanosecondPreciseDatetime_JG,<Regular Domain>,datetime,Null,sdNanosecondPreciseDatetime_JG,dDateTime,sdNanosecondPreciseDatetime_JG
1075838983::1375,sdTitleString_JG,Domain,sdTitleString_JG,<Regular Domain>,char(1),Null,sdTitleString_JG,dString,sdTitleString_JG
1075838983::1378,udtContactTitle_JG,Domain,udtContactTitle_JG,<Regular Domain>,nvarchar(60),Null,udtContactTitle_JG,sdTitleString_JG,udtContactTitle_JG
